总建筑面积,使用年限（年）,总增长成本（原）,总增长成本,单位增长成本,单位节能量,单位节材,单位节水,单位节地, 废气减排,居民健康,提高就业率,居民幸福感指数,效益
63778.02,50,1351.86 ,13518600,211.963 ,19.618 ,94.384 ,9.690 ,195.083 ,是,是,是,是,3
2270.01,50,256.02 ,2560200,1127.836 ,27.532 ,175.021 ,277.444 ,16.167 ,是,是,否,是,2
70448.65,50,1600.00 ,16000000,227.116 ,18.453 ,54.792 ,1.380 ,23.421 ,是,是,否,否,1
86412.43,50,1747.70 ,17477000,202.251 ,49.456 ,0.000 ,198.964 ,79.321 ,是,是,是,是,3
12870,50,723.10 ,7231000,561.849 ,54.768 ,893.551 ,1.379 ,0.000 ,是,是,是,是,3
150660,50,1581.74 ,15817400,104.987 ,22.689 ,66.375 ,2.067 ,8.031 ,是,是,是,是,3
114536,40,1452.07 ,14520700,126.778 ,18.588 ,0.000 ,15.017 ,0.000 ,是,是,否,是,2
73131.61,50,703.81 ,7038137.72,96.239 ,11.612 ,1.504 ,0.932 ,16.546 ,是,是,是,是,3
20822,70,343.86 ,3438600,165.143 ,19.210 ,1.153 ,26.390 ,0.000 ,是,是,是,是,2
45000,50,1616.20 ,16162000,359.156 ,7.409 ,86.667 ,2.222 ,0.000 ,是,是,否,是,2
26320,50,6637.00 ,66370000,2521.657 ,40.426 ,420.023 ,17.869 ,7.409 ,是,是,是,是,3
8676,50,385.29 ,3852900,444.087 ,23.150 ,0.000 ,0.560 ,0.000 ,是,是,否,是,2
180400,50,2573.00 ,25730000,142.627 ,8.021 ,0.000 ,1.493 ,0.000 ,是,是,是,是,3
735800,50,4500.50 ,45005000,61.165 ,1.669 ,0.731 ,0.191 ,1.413 ,是,是,否,是,2
121373,40,596.34 ,5963445.5,49.133 ,5.213 ,0.000 ,2.225 ,0.000 ,是,是,否,是,2
53872,50,328.24 ,3282408.39,60.930 ,1.102 ,0.447 ,0.540 ,5.602 ,是,是,是,是,3
8470,50,641.06 ,6410620,756.862 ,23.300 ,17.710 ,0.315 ,0.203 ,是,是,否,是,2
24000,50,1027.05 ,10270540,427.939 ,18.904 ,135.000 ,6.604 ,0.000 ,是,是,否,是,2
55084.09,50,1000.22 ,10002200,181.581 ,25.998 ,42.577 ,1.948 ,5.446 ,是,是,否,是,2
21511,50,517.36 ,5173600,240.510 ,54.856 ,0.000 ,1301.660 ,0.000 ,是,是,是,是,3
238500,50,24921.17,249211700,1044.913 ,10.189 ,0.000 ,5.031 ,327.044 ,是,是,否,是,2
62100,50,2000.00 ,20000000,322.061 ,36.000 ,62.641 ,5.631 ,2407.407 ,是,是,否,是,2
141235,50,2330.20 ,23302000,164.987 ,6.526 ,63.639 ,4.423 ,44.252 ,是,是,否,是,3
3300,50,145.00 ,1450000,439.394 ,10.394 ,75.758 ,21.030 ,303.030 ,是,是,是,是,3
3000,30,139.00 ,1390000,463.333 ,10.033 ,0.000 ,12.600 ,40.000 ,是,是,是,是,3
168800,50,1.19 ,11923.66,0.071 ,0.764 ,3.185 ,0.137 ,6.161 ,是,是,否,是,2
10166.76,70,444.49 ,4444900,437.199 ,572.053 ,75.951 ,14.840 ,14.754 ,是,是,是,是,3
16004.34,50,505.14 ,5051400,315.627 ,13.877 ,0.000 ,0.750 ,0.000 ,是,是,是,是,3
180400,50,2514.78 ,25147800,139.400 ,8.021 ,0.865 ,1.493 ,0.000 ,是,是,是,是,3
130360,50,1834.55 ,18345500,140.730 ,7.528 ,95.410 ,1.737 ,4.219 ,是,是,否,否,1
15000,30,334.70 ,3347000,223.133 ,30.000 ,3.333 ,8.000 ,0.000 ,是,是,否,是,2
39270.56,50,651.16 ,6511633,165.815 ,9.883 ,1031.307 ,3.117 ,138.860 ,是,是,否,是,2
18158,70,477.98 ,4779800,263.234 ,10.838 ,2617.028 ,3.310 ,360.723 ,是,是,是,是,3
8344,50,1349.12 ,13491200,1616.874 ,98.166 ,8.689 ,32.107 ,136.182 ,是,是,是,是,3
11284.46,50,263.21 ,2632095,233.250 ,26.439 ,28.271 ,3.055 ,20.825 ,是,是,否,是,2
6374300,50,39557,395570000,62.057 ,14.885 ,9.431 ,1.002 ,0.706 ,是,是,否,是,2
3914000,50,52705,527050000,134.658 ,15.043 ,0.000 ,1.306 ,336.676 ,是,是,否,是,2
1507000,50,29645,296450000,196.715 ,17.279 ,0.000 ,0.659 ,0.034 ,是,是,否,是,2
105004.1,50,1232.29 ,12322900,117.356 ,77.616 ,5.047 ,12.404 ,70.950 ,是,是,是,是,3
79194.08,50,1647.44 ,16474421,208.026 ,99.885 ,0.000 ,4.095 ,378.816 ,是,是,是,是,3
35264.91,50,755.77 ,7557700,214.312 ,13.305 ,28.200 ,1.720 ,12.052 ,是,是,是,是,2
169200,30,4323.76 ,43237600,255.541 ,3.842 ,7.605 ,1.456 ,88.061 ,是,是,否,是,2
21000,50,471.36 ,4713600,224.457 ,14.300 ,14.905 ,7.476 ,0.000 ,是,是,否,是,2
56971,50,1605.58 ,16055800,281.824 ,12.247 ,33.082 ,4.462 ,0.000 ,是,是,是,是,2
100000,50,57.24 ,572416.67,5.724 ,7.222 ,49.080 ,0.702 ,0.425 ,是,是,是,是,2
36100,50,170.22 ,1702200,47.152 ,7.094 ,15.501 ,0.720 ,11.080 ,是,是,是,是,3
39270.56,50,465.23 ,4652297.43,118.468 ,7.540 ,20.626 ,3.117 ,240.638 ,是,是,是,是,3
13510,50,318.80 ,3188000,235.973 ,23.982 ,96.225 ,7.550 ,321.984 ,是,是,否,是,2
153600,50,3633.15 ,36331500,236.533 ,8.174 ,45.428 ,2.878 ,82.921 ,是,是,是,是,2
9403.72,50,185.71 ,1857141.2,197.490 ,0.610 ,1435.602 ,4.339 ,0.000 ,是,是,是,是,3
3000,30,138.85 ,1388540,462.847 ,10.033 ,15.000 ,12.600 ,40.000 ,是,是,是,是,3
40520,50,1868.22 ,18682200,461.061 ,56.655 ,0.000 ,9.954 ,59.847 ,是,是,否,是,3
8676,50,439.36 ,4393560,506.404 ,6.604 ,0.000 ,0.000 ,0.000 ,是,是,是,是,3
290000,50,17400,174000000,600.000 ,2.407 ,0.000 ,1.379 ,118.793 ,是,是,否,是,2
11000,30,172.20 ,1722040,156.549 ,50.564 ,0.000 ,15.786 ,8.182 ,是,否,否,否,1
10000,30,164.14 ,1641400,164.140 ,61.230 ,4.800 ,15.695 ,23.100 ,是,是,是,是,3
59619,50,795.01 ,7950100,133.348 ,13.754 ,249.920 ,11.204 ,0.000 ,是,是,否,是,2
79201.1,50,2041.42 ,20414200,257.751 ,3.722 ,27.423 ,0.226 ,10.101 ,是,是,是,是,3
200000,50,11600,116000000,580.000 ,6.141 ,2.688 ,0.703 ,5.200 ,是,是,否,是,2
70377.01,50,896.95 ,8969500,127.449 ,1.989 ,0.000 ,0.426 ,0.000 ,是,否,是,否,1
91000,25,936.40 ,9364000,102.901 ,7.752 ,0.000 ,0.632 ,4.121 ,是,是,否,是,2
63292.83,50,1138.06 ,11380600,179.809 ,123.924 ,167.306 ,0.742 ,2.370 ,是,是,是,是,3
9153,50,121.47 ,1214700,132.711 ,27.718 ,89.053 ,3.081 ,13.657 ,是,是,否,是,2
286800,50,3016.80 ,30168000,105.188 ,6.803 ,0.000 ,1.621 ,43.418 ,是,是,否,是,2
208200,50,12953,129530000,622.142 ,31.094 ,2.546 ,2.429 ,1.057 ,是,是,是,是,3
800000,50,32795.1,327951000,409.939 ,22.108 ,1211.863 ,8.674 ,55.313 ,是,是,否,是,2
66428,50,906.40 ,9064000,136.448 ,14.301 ,0.000 ,0.244 ,0.000 ,是,是,是,是,2
1500000,50,5589.10 ,55891000,37.261 ,0.177 ,0.000 ,0.058 ,0.000 ,是,是,是,是,2
50150,50,1272.65 ,12726500,253.769 ,70.927 ,0.000 ,9.117 ,0.000 ,是,是,否,是,2
225732.56,50,1430.90 ,14309000,63.389 ,7.789 ,0.000 ,1.356 ,0.000 ,是,是,是,是,2
10166.76,50,172.82 ,1728200,169.985 ,132.642 ,97.312 ,0.828 ,3.695 ,是,否,否,否,1
162400,50,1788.24 ,17882387.8,110.113 ,1.509 ,38.311 ,8.560 ,0.685 ,是,是,是,是,3
130000,50,4448.89 ,44488900,342.222 ,12.898 ,17.423 ,3.519 ,0.000 ,是,是,是,是,3
39270.56,50,757.54 ,7575383,192.902 ,7.540 ,20.626 ,3.117 ,0.000 ,是,是,是,是,3
62018,50,530.90 ,5309000,85.604 ,2.456 ,0.000 ,0.318 ,0.000 ,是,是,否,是,2
54116.2,50,9368.55 ,93685500,1731.191 ,26.992 ,43.736 ,2.012 ,140.505 ,是,是,是,是,3
230000,50,24563.43786,245634378.6,1067.976 ,38.434 ,0.000 ,0.000 ,22.806 ,是,是,否,是,2
100678,50,3450.13 ,34501343.8,342.690 ,8.922 ,0.000 ,13.380 ,0.000 ,是,是,是,是,2
10123.5,50,9746.96 ,97469600,9628.054 ,480.883 ,416.763 ,4.633 ,0.000 ,是,是,否,是,2
4335.1,50,1200.44 ,12004400,2769.117 ,10.070 ,82.498 ,1.001 ,55.593 ,是,是,否,是,2
188767,50,249.07 ,2490700,13.195 ,6.182 ,70.855 ,1.144 ,38.412 ,是,是,是,是,3
5796.92,50,828.48 ,8284785,1429.170 ,101.800 ,222.532 ,0.000 ,0.000 ,是,是,否,是,2
9513,50,202.20 ,2022000,212.551 ,3.238 ,0.000 ,4.247 ,0.000 ,是,是,否,是,2
1260700,50,28365.5,283655000,224.998 ,25.002 ,156.262 ,18.751 ,156.262 ,是,否,否,否,1
5283700,50,68688,686880000,130.000 ,15.677 ,97.984 ,11.758 ,97.850 ,是,是,否,是,2
842900,50,261229.9,2612299000,3099.180 ,29.916 ,373.710 ,22.437 ,353.684 ,是,是,是,是,3
45086,50,4967.00 ,49670000,1101.672 ,16.635 ,222.907 ,8.317 ,198.510 ,是,是,是,是,3
